node_name,datetime,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node633,2013-12-31 19:00:00 EST,2382.674399,-105.364226,-1196.127460,-1906.767277,-1133.109687,2158.517683
Node630,2013-12-31 19:00:00 EST,2495.302162,0.027677,-1143.667710,-1980.925855,-1280.943064,2218.607659
Node632,2013-12-31 19:00:00 EST,2390.316192,-103.127718,-1197.004495,-1912.531457,-1136.115260,2163.783190
Node650,2013-12-31 19:00:00 EST,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
Node680,2013-12-31 19:00:00 EST,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131
Node684,2013-12-31 19:00:00 EST,2301.191092,-216.038255,0.000000,0.000000,-1016.768089,2114.558972
Load634,2013-12-31 19:00:00 EST,267.942142,-15.184106,-137.113365,-213.867092,-126.268707,245.505106
Load645,2013-12-31 19:00:00 EST,0.000000,0.000000,-1191.452787,-1888.649414,-1134.710755,2159.966593
Load646,2013-12-31 19:00:00 EST,0.000000,0.000000,-1192.123809,-1883.660202,-1133.999892,2154.976728
Load652,2013-12-31 19:00:00 EST,2292.020635,-210.612370,0.000000,0.000000,0.000000,0.000000
Load671,2013-12-31 19:00:00 EST,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131
Load675,2013-12-31 19:00:00 EST,2288.913075,-224.402567,-1241.159930,-1913.729887,-1021.404918,2112.275708
Load692,2013-12-31 19:00:00 EST,2305.683328,-215.682622,-1232.338372,-1913.388378,-1023.089168,2116.598631
Load611,2013-12-31 19:00:00 EST,0.000000,0.000000,0.000000,0.000000,-1008.878793,2113.296779
Load6711,2013-12-31 19:00:00 EST,2305.690905,-215.697729,-1232.339656,-1913.392468,-1023.083962,2116.610131
Load6321,2013-12-31 19:00:00 EST,2369.769789,-131.180294,-1205.306042,-1911.606044,-1105.381034,2151.497873
