Object,Class,Init Prop,Min Thresh,Max Thresh,Commit Prop
line1to2,overhead_line,rating.summer.continuous,,850.0,current_out_A
line1to2,overhead_line,rating.summer.continuous,,850.0,current_out_B
line1to2,overhead_line,rating.summer.continuous,,850.0,current_out_C
line1to2,overhead_line,rating.summer.continuous,,850.0,current_in_A
line1to2,overhead_line,rating.summer.continuous,,850.0,current_in_B
line1to2,overhead_line,rating.summer.continuous,,850.0,current_in_C
line1to2,overhead_line,rating.winter.continuous,,900.0,current_out_A
line1to2,overhead_line,rating.winter.continuous,,900.0,current_out_B
line1to2,overhead_line,rating.winter.continuous,,900.0,current_out_C
line1to2,overhead_line,rating.winter.continuous,,900.0,current_in_A
line1to2,overhead_line,rating.winter.continuous,,900.0,current_in_B
line1to2,overhead_line,rating.winter.continuous,,900.0,current_in_C
line1to3,overhead_line,rating.summer.continuous,,850.0,current_out_A
line1to3,overhead_line,rating.summer.continuous,,850.0,current_out_B
line1to3,overhead_line,rating.summer.continuous,,850.0,current_out_C
line1to3,overhead_line,rating.summer.continuous,,850.0,current_in_A
line1to3,overhead_line,rating.summer.continuous,,850.0,current_in_B
line1to3,overhead_line,rating.summer.continuous,,850.0,current_in_C
line1to3,overhead_line,rating.winter.continuous,,900.0,current_out_A
line1to3,overhead_line,rating.winter.continuous,,900.0,current_out_B
line1to3,overhead_line,rating.winter.continuous,,900.0,current_out_C
line1to3,overhead_line,rating.winter.continuous,,900.0,current_in_A
line1to3,overhead_line,rating.winter.continuous,,900.0,current_in_B
line1to3,overhead_line,rating.winter.continuous,,900.0,current_in_C
line1to7,overhead_line,rating.summer.continuous,,850.0,current_out_A
line1to7,overhead_line,rating.summer.continuous,,850.0,current_out_B
line1to7,overhead_line,rating.summer.continuous,,850.0,current_out_C
line1to7,overhead_line,rating.summer.continuous,,850.0,current_in_A
line1to7,overhead_line,rating.summer.continuous,,850.0,current_in_B
line1to7,overhead_line,rating.summer.continuous,,850.0,current_in_C
line1to7,overhead_line,rating.winter.continuous,,900.0,current_out_A
line1to7,overhead_line,rating.winter.continuous,,900.0,current_out_B
line1to7,overhead_line,rating.winter.continuous,,900.0,current_out_C
line1to7,overhead_line,rating.winter.continuous,,900.0,current_in_A
line1to7,overhead_line,rating.winter.continuous,,900.0,current_in_B
line1to7,overhead_line,rating.winter.continuous,,900.0,current_in_C
line3to4,overhead_line,rating.summer.continuous,,850.0,current_out_A
line3to4,overhead_line,rating.summer.continuous,,850.0,current_out_B
line3to4,overhead_line,rating.summer.continuous,,850.0,current_out_C
line3to4,overhead_line,rating.summer.continuous,,850.0,current_in_A
line3to4,overhead_line,rating.summer.continuous,,850.0,current_in_B
line3to4,overhead_line,rating.summer.continuous,,850.0,current_in_C
line3to4,overhead_line,rating.winter.continuous,,900.0,current_out_A
line3to4,overhead_line,rating.winter.continuous,,900.0,current_out_B
line3to4,overhead_line,rating.winter.continuous,,900.0,current_out_C
line3to4,overhead_line,rating.winter.continuous,,900.0,current_in_A
line3to4,overhead_line,rating.winter.continuous,,900.0,current_in_B
line3to4,overhead_line,rating.winter.continuous,,900.0,current_in_C
line3to5,overhead_line,rating.summer.continuous,,850.0,current_out_A
line3to5,overhead_line,rating.summer.continuous,,850.0,current_out_B
line3to5,overhead_line,rating.summer.continuous,,850.0,current_out_C
line3to5,overhead_line,rating.summer.continuous,,850.0,current_in_A
line3to5,overhead_line,rating.summer.continuous,,850.0,current_in_B
line3to5,overhead_line,rating.summer.continuous,,850.0,current_in_C
line3to5,overhead_line,rating.winter.continuous,,900.0,current_out_A
line3to5,overhead_line,rating.winter.continuous,,900.0,current_out_B
line3to5,overhead_line,rating.winter.continuous,,900.0,current_out_C
line3to5,overhead_line,rating.winter.continuous,,900.0,current_in_A
line3to5,overhead_line,rating.winter.continuous,,900.0,current_in_B
line3to5,overhead_line,rating.winter.continuous,,900.0,current_in_C
line5to6,overhead_line,rating.summer.continuous,,850.0,current_out_A
line5to6,overhead_line,rating.summer.continuous,,850.0,current_out_B
line5to6,overhead_line,rating.summer.continuous,,850.0,current_out_C
line5to6,overhead_line,rating.summer.continuous,,850.0,current_in_A
line5to6,overhead_line,rating.summer.continuous,,850.0,current_in_B
line5to6,overhead_line,rating.summer.continuous,,850.0,current_in_C
line5to6,overhead_line,rating.winter.continuous,,900.0,current_out_A
line5to6,overhead_line,rating.winter.continuous,,900.0,current_out_B
line5to6,overhead_line,rating.winter.continuous,,900.0,current_out_C
line5to6,overhead_line,rating.winter.continuous,,900.0,current_in_A
line5to6,overhead_line,rating.winter.continuous,,900.0,current_in_B
line5to6,overhead_line,rating.winter.continuous,,900.0,current_in_C
line7to8,overhead_line,rating.summer.continuous,,850.0,current_out_A
line7to8,overhead_line,rating.summer.continuous,,850.0,current_out_B
line7to8,overhead_line,rating.summer.continuous,,850.0,current_out_C
line7to8,overhead_line,rating.summer.continuous,,850.0,current_in_A
line7to8,overhead_line,rating.summer.continuous,,850.0,current_in_B
line7to8,overhead_line,rating.summer.continuous,,850.0,current_in_C
line7to8,overhead_line,rating.winter.continuous,,900.0,current_out_A
line7to8,overhead_line,rating.winter.continuous,,900.0,current_out_B
line7to8,overhead_line,rating.winter.continuous,,900.0,current_out_C
line7to8,overhead_line,rating.winter.continuous,,900.0,current_in_A
line7to8,overhead_line,rating.winter.continuous,,900.0,current_in_B
line7to8,overhead_line,rating.winter.continuous,,900.0,current_in_C
line8to12,overhead_line,rating.summer.continuous,,850.0,current_out_A
line8to12,overhead_line,rating.summer.continuous,,850.0,current_out_B
line8to12,overhead_line,rating.summer.continuous,,850.0,current_out_C
line8to12,overhead_line,rating.summer.continuous,,850.0,current_in_A
line8to12,overhead_line,rating.summer.continuous,,850.0,current_in_B
line8to12,overhead_line,rating.summer.continuous,,850.0,current_in_C
line8to12,overhead_line,rating.winter.continuous,,900.0,current_out_A
line8to12,overhead_line,rating.winter.continuous,,900.0,current_out_B
line8to12,overhead_line,rating.winter.continuous,,900.0,current_out_C
line8to12,overhead_line,rating.winter.continuous,,900.0,current_in_A
line8to12,overhead_line,rating.winter.continuous,,900.0,current_in_B
line8to12,overhead_line,rating.winter.continuous,,900.0,current_in_C
line8to9,overhead_line,rating.summer.continuous,,850.0,current_out_A
line8to9,overhead_line,rating.summer.continuous,,850.0,current_out_B
line8to9,overhead_line,rating.summer.continuous,,850.0,current_out_C
line8to9,overhead_line,rating.summer.continuous,,850.0,current_in_A
line8to9,overhead_line,rating.summer.continuous,,850.0,current_in_B
line8to9,overhead_line,rating.summer.continuous,,850.0,current_in_C
line8to9,overhead_line,rating.winter.continuous,,900.0,current_out_A
line8to9,overhead_line,rating.winter.continuous,,900.0,current_out_B
line8to9,overhead_line,rating.winter.continuous,,900.0,current_out_C
line8to9,overhead_line,rating.winter.continuous,,900.0,current_in_A
line8to9,overhead_line,rating.winter.continuous,,900.0,current_in_B
line8to9,overhead_line,rating.winter.continuous,,900.0,current_in_C
line8to13,overhead_line,rating.summer.continuous,,850.0,current_out_A
line8to13,overhead_line,rating.summer.continuous,,850.0,current_out_B
line8to13,overhead_line,rating.summer.continuous,,850.0,current_out_C
line8to13,overhead_line,rating.summer.continuous,,850.0,current_in_A
line8to13,overhead_line,rating.summer.continuous,,850.0,current_in_B
line8to13,overhead_line,rating.summer.continuous,,850.0,current_in_C
line8to13,overhead_line,rating.winter.continuous,,900.0,current_out_A
line8to13,overhead_line,rating.winter.continuous,,900.0,current_out_B
line8to13,overhead_line,rating.winter.continuous,,900.0,current_out_C
line8to13,overhead_line,rating.winter.continuous,,900.0,current_in_A
line8to13,overhead_line,rating.winter.continuous,,900.0,current_in_B
line8to13,overhead_line,rating.winter.continuous,,900.0,current_in_C
line901to14,overhead_line,rating.summer.continuous,,850.0,current_out_A
line901to14,overhead_line,rating.summer.continuous,,850.0,current_out_B
line901to14,overhead_line,rating.summer.continuous,,850.0,current_out_C
line901to14,overhead_line,rating.summer.continuous,,850.0,current_in_A
line901to14,overhead_line,rating.summer.continuous,,850.0,current_in_B
line901to14,overhead_line,rating.summer.continuous,,850.0,current_in_C
line901to14,overhead_line,rating.winter.continuous,,900.0,current_out_A
line901to14,overhead_line,rating.winter.continuous,,900.0,current_out_B
line901to14,overhead_line,rating.winter.continuous,,900.0,current_out_C
line901to14,overhead_line,rating.winter.continuous,,900.0,current_in_A
line901to14,overhead_line,rating.winter.continuous,,900.0,current_in_B
line901to14,overhead_line,rating.winter.continuous,,900.0,current_in_C
line13to34,overhead_line,rating.summer.continuous,,850.0,current_out_A
line13to34,overhead_line,rating.summer.continuous,,850.0,current_out_B
line13to34,overhead_line,rating.summer.continuous,,850.0,current_out_C
line13to34,overhead_line,rating.summer.continuous,,850.0,current_in_A
line13to34,overhead_line,rating.summer.continuous,,850.0,current_in_B
line13to34,overhead_line,rating.summer.continuous,,850.0,current_in_C
line13to34,overhead_line,rating.winter.continuous,,900.0,current_out_A
line13to34,overhead_line,rating.winter.continuous,,900.0,current_out_B
line13to34,overhead_line,rating.winter.continuous,,900.0,current_out_C
line13to34,overhead_line,rating.winter.continuous,,900.0,current_in_A
line13to34,overhead_line,rating.winter.continuous,,900.0,current_in_B
line13to34,overhead_line,rating.winter.continuous,,900.0,current_in_C
line13to18,overhead_line,rating.summer.continuous,,850.0,current_out_A
line13to18,overhead_line,rating.summer.continuous,,850.0,current_out_B
line13to18,overhead_line,rating.summer.continuous,,850.0,current_out_C
line13to18,overhead_line,rating.summer.continuous,,850.0,current_in_A
line13to18,overhead_line,rating.summer.continuous,,850.0,current_in_B
line13to18,overhead_line,rating.summer.continuous,,850.0,current_in_C
line13to18,overhead_line,rating.winter.continuous,,900.0,current_out_A
line13to18,overhead_line,rating.winter.continuous,,900.0,current_out_B
line13to18,overhead_line,rating.winter.continuous,,900.0,current_out_C
line13to18,overhead_line,rating.winter.continuous,,900.0,current_in_A
line13to18,overhead_line,rating.winter.continuous,,900.0,current_in_B
line13to18,overhead_line,rating.winter.continuous,,900.0,current_in_C
line14to11,overhead_line,rating.summer.continuous,,850.0,current_out_A
line14to11,overhead_line,rating.summer.continuous,,850.0,current_out_B
line14to11,overhead_line,rating.summer.continuous,,850.0,current_out_C
line14to11,overhead_line,rating.summer.continuous,,850.0,current_in_A
line14to11,overhead_line,rating.summer.continuous,,850.0,current_in_B
line14to11,overhead_line,rating.summer.continuous,,850.0,current_in_C
line14to11,overhead_line,rating.winter.continuous,,900.0,current_out_A
line14to11,overhead_line,rating.winter.continuous,,900.0,current_out_B
line14to11,overhead_line,rating.winter.continuous,,900.0,current_out_C
line14to11,overhead_line,rating.winter.continuous,,900.0,current_in_A
line14to11,overhead_line,rating.winter.continuous,,900.0,current_in_B
line14to11,overhead_line,rating.winter.continuous,,900.0,current_in_C
line14to10,overhead_line,rating.summer.continuous,,850.0,current_out_A
line14to10,overhead_line,rating.summer.continuous,,850.0,current_out_B
line14to10,overhead_line,rating.summer.continuous,,850.0,current_out_C
line14to10,overhead_line,rating.summer.continuous,,850.0,current_in_A
line14to10,overhead_line,rating.summer.continuous,,850.0,current_in_B
line14to10,overhead_line,rating.summer.continuous,,850.0,current_in_C
line14to10,overhead_line,rating.winter.continuous,,900.0,current_out_A
line14to10,overhead_line,rating.winter.continuous,,900.0,current_out_B
line14to10,overhead_line,rating.winter.continuous,,900.0,current_out_C
line14to10,overhead_line,rating.winter.continuous,,900.0,current_in_A
line14to10,overhead_line,rating.winter.continuous,,900.0,current_in_B
line14to10,overhead_line,rating.winter.continuous,,900.0,current_in_C
line15to16,overhead_line,rating.summer.continuous,,850.0,current_out_A
line15to16,overhead_line,rating.summer.continuous,,850.0,current_out_B
line15to16,overhead_line,rating.summer.continuous,,850.0,current_out_C
line15to16,overhead_line,rating.summer.continuous,,850.0,current_in_A
line15to16,overhead_line,rating.summer.continuous,,850.0,current_in_B
line15to16,overhead_line,rating.summer.continuous,,850.0,current_in_C
line15to16,overhead_line,rating.winter.continuous,,900.0,current_out_A
line15to16,overhead_line,rating.winter.continuous,,900.0,current_out_B
line15to16,overhead_line,rating.winter.continuous,,900.0,current_out_C
line15to16,overhead_line,rating.winter.continuous,,900.0,current_in_A
line15to16,overhead_line,rating.winter.continuous,,900.0,current_in_B
line15to16,overhead_line,rating.winter.continuous,,900.0,current_in_C
line15to17,overhead_line,rating.summer.continuous,,850.0,current_out_A
line15to17,overhead_line,rating.summer.continuous,,850.0,current_out_B
line15to17,overhead_line,rating.summer.continuous,,850.0,current_out_C
line15to17,overhead_line,rating.summer.continuous,,850.0,current_in_A
line15to17,overhead_line,rating.summer.continuous,,850.0,current_in_B
line15to17,overhead_line,rating.summer.continuous,,850.0,current_in_C
line15to17,overhead_line,rating.winter.continuous,,900.0,current_out_A
line15to17,overhead_line,rating.winter.continuous,,900.0,current_out_B
line15to17,overhead_line,rating.winter.continuous,,900.0,current_out_C
line15to17,overhead_line,rating.winter.continuous,,900.0,current_in_A
line15to17,overhead_line,rating.winter.continuous,,900.0,current_in_B
line15to17,overhead_line,rating.winter.continuous,,900.0,current_in_C
line18to19,overhead_line,rating.summer.continuous,,850.0,current_out_A
line18to19,overhead_line,rating.summer.continuous,,850.0,current_out_B
line18to19,overhead_line,rating.summer.continuous,,850.0,current_out_C
line18to19,overhead_line,rating.summer.continuous,,850.0,current_in_A
line18to19,overhead_line,rating.summer.continuous,,850.0,current_in_B
line18to19,overhead_line,rating.summer.continuous,,850.0,current_in_C
line18to19,overhead_line,rating.winter.continuous,,900.0,current_out_A
line18to19,overhead_line,rating.winter.continuous,,900.0,current_out_B
line18to19,overhead_line,rating.winter.continuous,,900.0,current_out_C
line18to19,overhead_line,rating.winter.continuous,,900.0,current_in_A
line18to19,overhead_line,rating.winter.continuous,,900.0,current_in_B
line18to19,overhead_line,rating.winter.continuous,,900.0,current_in_C
line18to21,overhead_line,rating.summer.continuous,,850.0,current_out_A
line18to21,overhead_line,rating.summer.continuous,,850.0,current_out_B
line18to21,overhead_line,rating.summer.continuous,,850.0,current_out_C
line18to21,overhead_line,rating.summer.continuous,,850.0,current_in_A
line18to21,overhead_line,rating.summer.continuous,,850.0,current_in_B
line18to21,overhead_line,rating.summer.continuous,,850.0,current_in_C
line18to21,overhead_line,rating.winter.continuous,,900.0,current_out_A
line18to21,overhead_line,rating.winter.continuous,,900.0,current_out_B
line18to21,overhead_line,rating.winter.continuous,,900.0,current_out_C
line18to21,overhead_line,rating.winter.continuous,,900.0,current_in_A
line18to21,overhead_line,rating.winter.continuous,,900.0,current_in_B
line18to21,overhead_line,rating.winter.continuous,,900.0,current_in_C
line19to20,overhead_line,rating.summer.continuous,,850.0,current_out_A
line19to20,overhead_line,rating.summer.continuous,,850.0,current_out_B
line19to20,overhead_line,rating.summer.continuous,,850.0,current_out_C
line19to20,overhead_line,rating.summer.continuous,,850.0,current_in_A
line19to20,overhead_line,rating.summer.continuous,,850.0,current_in_B
line19to20,overhead_line,rating.summer.continuous,,850.0,current_in_C
line19to20,overhead_line,rating.winter.continuous,,900.0,current_out_A
line19to20,overhead_line,rating.winter.continuous,,900.0,current_out_B
line19to20,overhead_line,rating.winter.continuous,,900.0,current_out_C
line19to20,overhead_line,rating.winter.continuous,,900.0,current_in_A
line19to20,overhead_line,rating.winter.continuous,,900.0,current_in_B
line19to20,overhead_line,rating.winter.continuous,,900.0,current_in_C
line21to22,overhead_line,rating.summer.continuous,,850.0,current_out_A
